date_posted;link;price;city;subregion;region;state;post_text;price_list;posts_scraped_on;len_of_price_list
2022-01-18T10:54:19-0800;https://losangeles.craigslist.org/wst/lss/d/beverly-hills-credentialed-math-tutor/7434524801.html;;no city found;Westside-Southbay;losangeles;California;"




CREDENTIALED MATH TEACHER
AVAILABLE 24/7
WILLING TO NEGOTIATE
GED PREPARATION
ALL AGES 
GUARANTEED GRADE IMPROVEMENT

CONTACT
PHONE: ATTACHED IN POSTER
EMAIL: ATTACHED IN POSTER OR EMAIL DIRECTLY THROUGH CL
";[];2022-02-11;0
2022-01-18T10:38:34-0800;https://losangeles.craigslist.org/lac/lss/d/los-angeles-3rd-year-medical-student-as/7434516366.html;;Central La, Ucla, Usc, Cdu And San Fernando Valley;Central La;losangeles;California;"




Hi all,

My name is Mabel Kimble and I am currently a 3rd-year medical student. Prior to medical school, I was a research scientist at UCLA. I currently hold a Bachelor's of Science in Health Education, a Double Master's in Biomedical Sciences and Social Epidemiology. I am hoping to share my educational experience and offer tutoring services to students coming up in academics. I also have a very rich background in teaching which includes teaching Anatomy for 3 years and previous tutoring experience among elementary, middle, high school, and college students. I am also a published author of multiple peer-reviewed journals (google me or better yet PubMed me) lol. I love learning and better yet, I love to teach. Ultimately, love to see others begin to love STEM courses just as much as I do. I am also seasoned in research methods, biostatistics and epidemiology.

I now have a team of Medtutors doing this with me and we are calling our program EduLearn Medtutors (Online tutoring and STEM coaching program).

Our team is now taking in new clients for the winter session.

*Match with proficient 3rd & 4th-year medical students
*Match with a master of science in biomedical graduates and public health grads.
*Learn how to master the concept
*Study strategy
*Learn skills about test anxiety stress management
*High school, college, and up

15 min consult is free
Use this link to my online calendar: https://calendly.com/edulearn-medtutors
*Schedule a free 15 min consult
*Tutoring sessions are 60 min, packages are available

A small list of courses we are offering tutoring for (FYI courses are not limited to the ones listed, ask me).

Research methods, Biostatistics, Biology, Physiology, Anatomy, Pharmacology, Immunology, Algebra I and II, Trigonometry, Literature, Biochemistry, Epidemiology, Public Health, General chemistry, physics and etc.

Other services also include:
*Presentation/PPT assistance
*Public Speaking Coach
*Test anxiety and Stress management skills
*Resume editing and paper editing

Message or call 510-993-7485.
Accept: Zelle and venmo
Hourly, weekly, and monthly rates are available

https://www.linkedin.com/in/mabel-m-kimble-mdc-ms-mph-a07b9425/

EXTRA information!
1. In case of emergency and you need a presentation created (48 hours turn around time), this can be costly, just because when I've had student's reach out to me to do this, I've had to do an overnight and then coach them through the presentation before the presentation.
2. Presentation/Public Speaking coach (I've presented my research locally (Boston, San Diego, Washington DC, just to name a few) and internationally (Europe), there is a simple remedy to your anxiety and I can help)
3. Edit your paper, interview tips, and resume editing
";[];2022-02-11;0
2022-01-18T08:08:42-0800;https://losangeles.craigslist.org/wst/lss/d/los-angeles-math-tutor-and-ucla/7434431179.html;;Westwood/Ucla;Westside-Southbay;losangeles;California;"




Intro: As a UCLA professor (with a PhD in math), I have a strong background in both pure and applied Math. I have also helped hundreds of students as a math tutor over the years. As an educator I have tremendous amount of experience that spans over 15 years. I have been teaching mostly college classes but I have also helped people with their advanced graduate classes, as well as some very bright high school students over the years.

How am I different from other Tutors? First of all, I consider myself more of an educator and less of a tutor. This means that my approach is based on deep learning rather than simple memorizing or regurgitating. Having said that, I am obviously willing to help you with math assignments and exams by walking you through them step by step. But this doesn't mean that the process shouldn't be fun and educational. This is exactly where I come in!

Philosophy: I take my job very seriously because I am a firm believer that your success is directly correlated to my performance as an educator. As a result, I tend to prepare heavily for my one-on-one sessions to make sure that they suit your needs perfectly. Math is a very humbling subject and as such it cannot be underestimated, no matter how good the tutor is.

Tutoring: I tutor at home which is walking distance from UCLA. Skype is also an option for those with tight schedules.

Subjects: As for math subjects, my areas of expertise include but they are not limited to: STATISTICS, CALCULUS, geometry, algebra, algorithms, machine learning, discrete math, finite math, algebraic geometry, differential geometry, group theory, linear algebra, Galois theory, real analysis, complex analysis, functional analysis, tensor theory, non-Euclidean geometries, topology, combinatorics, graph theory, design theory, set theory, logic, boolean algebra, first-order languages, number theory, differential equations, numerical analysis, physics math, complexity, computability, cryptography, probability theory, game theory, operations research and many others. I am also willing to help you with test prep for GRE, SAT, GMAT etc.

General Consulting and Math Inquiries: I can also offer help with pretty much any math-related question you may have at any level, provided that it is given in some sort of context.

-----------------------------------------------

Credentials:

- Bachelor's degree in both pure and applied math, a master's degree in Computer Science, a master's degree in math from UCLA and a PhD in math also from UCLA.

- Sorgenfrey's teaching award from UCLA for exceptional teaching skills.

- Currently a math professor at UCLA.

-----------------------------------------------
Rates: Due to my credentials and high demand, my rates are on the higher end. If you value quality and efficiency over cost then you came to the right place. If on the other hand, you are looking for something more affordable then I would try to refer you to someone else less qualified but also more affordable. I am an educator before anything else so I genuinely want to help the best way I can!

Contact Me: If you like what you read, then feel free to call/text me to discuss more. If you call, please do not forget to leave a message as I am often busy working with other students.
    ";[];2022-02-11;0
2022-01-17T13:29:29-0800;https://losangeles.craigslist.org/lgb/lss/d/long-beach-math-tutor-college/7434155787.html;30.0;Long Beach;Long Beach;losangeles;California;"




I specialize in courses such as Pre-Algebra, Algebra, College Algebra, Trigonometry, Pre-Calculus, Business Calculus, Calculus 1, 2, AP, etc. In addition, I do tutor students for Geometry and Liberal Arts as well and I do give lessons for lower levels. My current students range from elementary, 7th and 8th grade, to high school and college level Math.

Aside from tutoring privately for years, I have been working as a Supplemental Instructor, Instructional Aid and Math Tutor at multiple colleges, including Rancho Santiago Community College District since 2015 for different programs and hosting weekly workshops for students during Spring and Fall semesters.
In addition, I am graduating with a Bachelors of Science in Mathematics degree from CSU Long Beach at the end of this year.

I average 25-30 hrs of tutoring per week every semester and I am usually in demand mostly from word of mouth clients. I am currently adding more hours into my schedule so I have now some extra availability. (first come, first serve basis).

I give all lessons online through Zoom due to pandemic. Rate is $30 per hour. I am located in Huntington Beach and can accommodate weekday and/or weekend sessions. Locally or out of state.

Please email me if interested and we can discuss lessons, schedules, goals and/or any other information in more detail. Look forward to hearing from you.

Nico
";[30];2022-02-11;1
2022-01-15T11:04:45-0800;https://losangeles.craigslist.org/wst/lss/d/los-angeles-physics-math-chemistry/7433283686.html;50.0;Beverly Hills;Westside-Southbay;losangeles;California;"




CREDENTIALS (LinkedIn: https://www.linkedin.com/in/reza-ghodsi-ph-d-33b67864/): My name is Reza, I have a Ph.D. in Bioengineering (class of 2019, University of Illinois) and am currently a postdoctoral trainee at USC Neurosurgery. I have been assisting my professors with their students during undergrad/grad school (it has been over 10 years!) and am comfortable working with students at all levels. Needless to say, I am well familiar with advanced Math, Physics, and Chemistry subjects. 

Although I have dedicated my time to teaching students for free all these years, right now I am financing my own little project and have to charge a fee against my will at the rate of $50/hr (in-person or online). 

Should you need any further information please feel free to contact me on Craigslist.

PHYSICS: High school, College, GRE, MCAT, SAT.

MATH: Calculus I, II, III, Differential Equations, Statistics, GMAT, GRE, MCAT, LSAT, SAT, ACT, LSAT, GED.

CHEMISTRY: General College Chemistry I, II, High school.
    ";[50];2022-02-11;1
2022-01-14T11:56:18-0800;https://losangeles.craigslist.org/lgb/lss/d/south-gate-math-tutor-for-college/7432882631.html;32.5;no city found;Long Beach;losangeles;California;"




Hello, my name is Christian and I offer tutoring for math college students. I tutor pre-algebra to pre-calculus. I also tutor statistics, research methods, and SPSS. I used to tutor for Cerritos College and finishing school at Cal State Long Beach. I am planning to get a degree in applied mathematics. I charge $25 for one hour, or $40 for two hours. If you have any questions, text me. I prefer sessions be held at a Starbucks in the 562, Downey, Long Beach areas, or near.
";[25, 40];2022-02-11;2
2022-02-05T17:04:49-0800;https://losangeles.craigslist.org/wst/lss/d/los-angeles-phd-to-ap-level-economics/7442319966.html;;Los Angeles;Westside-Southbay;losangeles;California;"




I tutor AP, College, MBA, Masters, and PhD students. 

You can call or text me at 628-215-0114. If I cannot answer your call it means I am in session with a student so send me a text message instead and I will get back to you right away. 

My Qualifications: Doctoral student in Financial Economics, MS Statistics, BS Industrial Engineering

Certifications: CFA, FRM, Actuary
I help with essays, assignments, homework, discussion postings, quizzes, projects, company and project valuation analysis, capstone, exams, case study, and test preps.

SUBJECTS COVERED:

PROBABILITY AND STATISTICS TOPICS
1.       Biostatistics and  Epidemiology - chi-square test survival analysis relative risk Kaplan Meier estimator ANOVA Person time  McNemar's Test specificity
2.       Combinatorics Kurtosis interval Boxplot ordinal Histogram nominal Outliers   Data analysis range Sample mean categorical variables Expected value
3.       Random Variables - variance normal distribution   cumulative distribution function probability density function gamma distribution Discrete and  Continuous random variables covariance binomial poisson geometric
4.       Probability - addition law permutation false negative probability PV+ Area under normal curve ROC curves combination sensitivity specificity Bayes Rule combination addition law false negative probability incidence multiplication rule
5.       Estimators - unbiasedness cramer rao  bound moment generating function estimators consistency method of moments Consistency maximum likelihood
6.       Estimators - unbiasedness cramer rao  bound moment generating function estimators consistency method of moments Consistency maximum likelihood
7.       Inferential Statistics - One Sample T test test on equality of proportions sample size given margin of error  hypothesis testing test on equality of means test on equality of variance  one way anova factorial anova central limit theorem sample size from power two sample t-test
8.       Linear Regression Tutoring - Linear Probability models probit logit Chunk Test Fixed effects Regression Discontinuity Design Fixed effects Least  squares estimation  propensity score Least  squares estimation Stationarity unit root test VCM volatility Regression Discontinuity Design Partial  F test Difference in Difference Random Effects
9.       Public Health Studies - pediatrics hypertension microbiology nutrition obstetrics sports medicine cancer renal disease environmental health microbiology
STATISTICAL SOFTWARE
         Stata, R studio, SPSS, Gretl,  eViews, Microsoft Excel, Minitab, LINDO, Palisade, Crystal Ball

ECONOMICS TOPICS
1.       Microeconomics - Perfect Competition Cost function Monopolistic  Competition Supply   Function Edgeworth Box Roy's identity Producer Surplus indirect utility Demand Function Expenditure minimization Oligopoly
2.       Macroeconomics - Solow Model Growth Theory Barro Ricardo Equivalence Growth Accounting Ramsey Optimal Tax Crusoe’s Production Possibilities International Economics Philips curve Dynamic Programming Philips curve Infinite Period Model GDP deflator Growth Accounting
3.       Game Theory - Normal form Dynamic Games of Incomplete Information Bayesian Nash Equilibrium Static Games of Complete Information Signaling Games Repeated Games     Cournot Competition
4.       Econometrics - Regression Discontinuity Design method of moments Difference in Difference Fixed effects maximum likelihood Linear Probability models cramer rao  bound Consistency estimators Chunk Test
FINANCE TOPICS
1.       Financial Math - Time Value of Money Derivatives Dividend discount model bond duration   CAPM bond convexity Stock Valuation Bond valuation 
2.       Portfolio Analysis - Option Pricing Efficient Frontier Markowitz currency swap Risk Derivatives forwards Black Scholes  SML Binomial Tree  
3.       Project Evaluation / Capital Budgeting - Discounted Payback IRR Payback Period MIRR WACC MACRS Spreadsheet calculations Straight line Depreciation
4.       Company Valuation - Financial ratios Liquidity Weighted average cost of capital Optimal capital structure ROE Liability SWOT Income statement Miller Modigliano Theorem profitability
ACOOUNTING TOPICS
1.       Financial Accounting – Financial Statements (balance sheets, income statements, cash flow statements), journal entries, ledger, trial balance, financial ratios, valuation, depreciation
2.       Managerial accounting - Job order costing, Process costing, Absorption costing vs. variable costing, cost behavior and cost-volume-profit analysis, Operational budgeting, Standard costing and variance analysis, Activity based costing, Pricing of individual products and services
OPERATIONS MANAGEMENT/ MANAGEMENT SCIENCE TOPICS
1.       Transportation problems
2.       Linear Programming
3.       Management Control, Procurement, TQM
4.       Product and Service Management, Facilities management, distribution
5.       PERT CPM,  inventory management
6.       moving average, decision tree, seasonality, eoq,  Excel Solver forecasting

ENGINEERING  AND PHYSICS TOPICS
1.       Engineering Statics
2.       Engineering Dynamics
3.       Physics 1 – friction, moments, etc
MATH, ALGEBRA, CALCULUS, AND PRE-CALCULUS
1.       Algebra, Math and Calculus - differential equation simplex method differential equations linear algebra GRE Quantitative Trigonometry newton raphson complex analysis matrix algebra
2.       Pre-calculus - slope and intercept of line permutation and combination gauss jordan theorem logarithmic and exponential functions binomial theorem rational and irrational numbers points of inflection synthetic division
";[];2022-02-11;0
2022-02-04T13:36:43-0800;https://losangeles.craigslist.org/wst/lss/d/santa-monica-the-biology-tutor-ucdavis/7441810580.html;;In-Person Or 1-On-1 Zoom;Westside-Southbay;losangeles;California;"




👉 The Biology TUTOR ⚡️UCDavis grad🌱college pre-med AP BIO (in-person or 1-on-1 ZOOM)


👉 Are you enrolled in a college biology class?
👉 Are you taking an important biology test like the A.P. exam?
👉 Are you a pre-med student?

Get help from LA'S BEST BIO COACH and get RESULTS!

Learn with an AP Bio and Chem Mastery Coach. Get personalized education from an awesome bilingual teacher with a UC Davis Biology degree and over ten years of classroom teaching and private tutoring experience.

After graduating from UC Davis in Biology and while working as an AP Bio classroom teacher, I founded ""Up Grade Tutoring with Marie"" and have helped hundreds of high school and college students reach their Biology and Chemistry goals.

I provide friendly personalized education based on your level and goals. I teach 1-on-1, either in person in Los Angeles, or via Zoom.

Specialties:
College Biology | Chemistry | Math and Science | AP | OIB | SAT 1 & 2

Cover A.P. Biology Exam Topics 1-on-1 with Marie's full curriculum:
Presentations
Virtual Labs
Custom Online Practice
3-D Modeling Activities
Worksheets
Videos
Free Response Questions
Multiple Choice Questions
and MORE

Single sessions are available for purchase as well as Monthly or Paid Plans at a discounted hourly rate. Rates start at 55/h with a Paid Plan Membership. This includes tutoring, online resources, access to my classroom, assessments, email and phone support. See website for more details.

The website has online booking, membership pricing options, payment, and a member login to access your appointments.

To sign up, contact us by text, email, or through the site.

Website: upgradedistancelearning dot com

Tutoring and Test Prep. specializing in:
🌱 Biology and Chemistry Coach
🍃 Math Tutoring AP Bio AP Chem, IB and more

A.P. biology private class and college biology tutoring available.

biochemistry | genetics | evolution | botany | plant biology | zoology | ecology | microbiology | molecular | cell biology
";[];2022-02-11;0
2022-02-04T10:25:52-0800;https://losangeles.craigslist.org/lac/lss/d/los-angeles-medical-student-tutoring/7441709152.html;65.0;no city found;Central La;losangeles;California;"




Hi, I'm Mark, and I'm an incoming medical student with six years of experience tutoring in math, English, biology, chemistry, SAT, and economics. I love working with kids of all ages - I currently tutor 20 students between the second grade and college in AP Calculus, AP Chemistry, Algebra 2, and several other subjects. I graduated high school at the age of 16 and I graduated from UC Berkeley with a B.A. in Molecular and Cell Biology at the age of 20 last month. I will be matriculating to medical school next fall.

I'm free to tutor virtually over Zoom at most times on weekdays and Saturdays. I love tutoring math at all levels, including calculus (5's on both AP exams), biology, chemistry, and the SAT (perfect score on the Math section and Math Subject Test). I also coach and train basketball. Feel free to give me a call or email to schedule a trial lesson. I charge $60-$70/hour.
";[60, 70];2022-02-11;2
2022-01-13T12:08:27-0800;https://losangeles.craigslist.org/sgv/lss/d/pasadena-math-tutor-algebra/7432448664.html;;Sgv/Pasadena Area;San Gabriel Valley;losangeles;California;"




Degreed Engineer (MSEE/EEE [USC], BSEE [CSUN]) available for tutoring in pre-algebra, algebra, trigonometry, pre-calculus, calculus, etc. now available in the evenings and weekends. Can also tutor other Engineering and Electronics related subjects (please ask when responding).

Generally prefer college/adult students but may consider younger with parental approval.

I am located in the SGV/Pasadena area and generally arrange to meet at a local Carl's Jr. or other quiet place you may know about.  I can make some recommendations of places i have used before.  Many of these places have now re-opened for indoor seating after the extended shutdown which has unfortunately caused many students to be over a year behind.  I might also be able to travel to your location (if local) but may need to add a travel fee depending on where you are.

I am only available in the evenings during the week with more flexibility on the weekends, all depending on who contacts me first to arrange a tutoring session. A 2-hour session is preferable since a single hour goes by very quickly and i will be able to cover more material and in greater detail (i can go for multiple hours if you like).

Please specify what topic(s) you are interested in when replying.
";[];2022-02-11;0
2022-02-03T14:47:58-0800;https://losangeles.craigslist.org/lac/lss/d/whittier-math-tutoring-statistics/7441405830.html;25.0;Whittier;Central La;losangeles;California;"




Are you currently enrolled in an online Math course and having trouble? If so, I can help! I am an experienced tutor who is employed at a local college as a math tutor. Also, I have worked for more than 5 years tutoring all levels of math. I have experience with individual and group tutoring.  In addition, I am a current student working toward my Civil Engineering degree at a local university. Rates start at $25/hr. for high school AP Statistics. Rates increase depending on education level (high school, college undergrad, grad school etc). Don't let yourself fall behind, call me today at (562) 320-1300 and ask for Eric. Turn your grade around! I can help make statistics easy to understand!!

p.s. Please no spam responses. For example, ""I am from (insert foreign country here) and I will be in your area for (random number) months. My son/daughter needs a math tutor for that time...etc"" PLEASE NO SPAM
";[25];2022-02-11;1
2022-02-03T09:41:17-0800;https://losangeles.craigslist.org/lac/lss/d/arcadia-certified-ap-sat-act-tutoring/7441249045.html;;Temple City;Central La;losangeles;California;"




Park Tutoring 


One on One Tutoring with Our Certified Tutors! 


*****Our tutors are attending or have degrees from colleges such as Harvard, Stanford, Columbia, University of Pennsylvania, University of Chicago, Brown, Dartmouth, USC, Georgetown, UC Berkeley, UCLA, UCSD, UCI, and etc.


Reach out to Director Park at (949) 490-0872 


⭐EASY SCHEDULING:⭐


Instant Scheduling Available!


Website: www.park-academy.com
Text/Call: (949) 490-0872
Rate:
$65/hr for AP Classes, Honors Classes, IB Classes, Math III, Pre-Calculus, High School Science, College Courses, and Test Preps
$55/hr for All other classes from K-12
We may have a different pricing if the subject is not common*


Subjects we tutor include but are not limited to:


(If you can not find subjects that are listed here, please reach out to us to request tutoring on a specific subject)


All K-12 Subjects (We listed examples of subjects we tutor)


Mathematics:


Pre-Algebra
AP Calculus AB
AP Calculus BC
Algebra
Algebra I
Algebra II/Trigonometry
Calculus I
Calculus II
Calculus III
Geometry
Differential Equations
Elementary Math
Finite Mathematics
Integrated Math 1,2,3,4
Pre-Calculus
Statistics

English:

All AP English +
Essay Writing
Literature
Proofreading
Grammar
Editing


Sciences:
Anatomy & Physiology
Biology
Biochemistry
Chemistry
Elementary Science
Earth Science
Organic Chemistry
Physical Chemistry
Physics
Microbiology

Middle School/High School Test Prep:
ISEE
SSAT
SAT
All SAT IIs
ACT

AP Exams
AP Research
AP Seminar
AP Art History
AP Biology
AP Calculus AB
AP Calculus BC
AP Chemistry
AP Chinese Language and Culture
AP Computer Science A
AP Computer Science Principles
AP English Language and Composition
AP English Literature and Composition
AP Environmental Science
AP European History
AP French Language and Culture
AP German Language and Culture
AP Government and Politics (Comparative)
AP Government and Politics (US)
AP Human Geography
AP Italian Language and Culture
AP Japanese Language and Culture
AP Latin
AP Macroeconomics
AP Microeconomics
AP Music Theory
AP Physics 1: Algebra-Based
AP Physics 2: Algebra-Based
AP Physics C: Electricity and Magnetism
AP Physics C: Mechanics
AP Psychology
AP Spanish Language and Culture
AP Spanish Literature and Culture
AP Statistics
AP Studio Art Drawing
AP Studio Art 2-D Design
AP Studio Art 3-D Design
AP US History
AP World History (Modern)

Graduate Exams

GRE
GMAT
MCAT
LSAT

And More… (We hire tutors with different specialties based on our students' academic needs, so we are able to provide tutoring for any subject on demand.


⭐EASY SCHEDULING:⭐ 

Instant Scheduling Available!

Website: www.parktutoring.com
Text/Call: (949) 490-0872
Rate: Starting at $55/hour!
";[65, 55, 55];2022-02-11;3
2022-02-03T08:32:13-0800;https://losangeles.craigslist.org/sfv/lss/d/sylmar-english-and-writing-tutor-online/7441211280.html;;Sylmar;Sf Valley;losangeles;California;"




⭐Call or Text 818.332.6837 ⭐

Are you failing your assignments?

Feeling left behind in school? 🏃‍♀️

Or having trouble with deadlines? ⏲️

But you do not even know where to start. 🤷‍

Hello, I'm Michael!

If you're having trouble in school, you're not alone. Many students struggle to keep up with their classes or to get good grades.

I'm here for you.

🏆👨🏻‍🎓🏆 I am a highly qualified tutor that has been tutoring English and ESL for over eight years, STRAIGHT. 

🥇I am a TESOL, TEYLT, CELTA internationally accredited certificated English tutor with a passion for helping students achieve their goals. 🥇

🌏 I have helped thousands of students from all around the world. 🇯🇵🇰🇷🇨🇴🇲🇽🇪🇸🇧🇷

I have worked in a writing and reading lab and as an in-class ESL tutor at a community college. I've also worked with many international ESL companies teaching students English all around the world.

I also have experience teaching various subjects like law, science, basic math, and more.

So, if you need help with an assignment or need help to improve your grade.

Even If you have an urgent task that needs to be done. ⏰

I can help you. 💯

I have successfully helped many students with their English Assignments, History, Psychology, English, Sociology, Anthropology, and many other subjects. 🎓

And if I don't know the subject, then I provide an in-depth look into the topic and learn. 

I can tutor from grade school, undergraduate to graduate, prelaw, and higher.

No matter how bad your grade looks, I can help you improve. Guaranteed. 👍

We can work from scratch or with a draft you have.

Getting an A will be more straightforward, fast, and more comfortable than you ever thought possible.

You will never have to worry about failing, feeling overwhelmed, or being left behind.

And even if you have a learning disability, I can teach you how to overcome your obstacles and reach your goals.

I offer Zoom or Skype sessions, and we can do everything online. I am very flexible, we can meet according to your schedule. (I use PayPal, Venmo, Zelle, or Cashapp for Zoom or Skype sessions.)

So, whether you are a student of Psychology, International Studies, even Criminology, and Law property law, or anything else, I got you covered.

Let this be the last day you ever doubt yourself and get the help you need!

Contact me today.

⭐Call or Text 818.332.6837  ⭐

Schedule a tutoring session to start bringing those grades up! 🚀

If you need help with any other services, I also provide:
Proofreading & Editing Services
Online English/Speaking tutoring
Copywriting and & Copyediting
Assistance in Online courses and classes
Writing Amazon Reviews
Assistance with Re-writing
Video Editing
And More

⭐Call or Text 818.332.6837  ⭐















online tutor, online tutoring, nursing, tutor, tutoring, reading, writing, English, online classes, ESL, homework, English homework, history, science, biology, math, college, college tutor, high school, middle school, PowerPoint, PowerPoint presentation, assignments, canvas, blackboard, geology, political science, political, paper, political theory, analysis, film review, copywriting, SEO, Response post, tort law, APA, MLA, write, Online content writer, copywriter, content, tutoring students, Elementary School Tutoring, tutoring services a tutoring services tutoring service tutor services online tutoring services tutoring services online online tutoring service academic tutoring services educational tutoring services academic tutoring service free tutoring services online tutor services online tutor service college tutoring services tutor services online math tutoring services math tutoring service tutoring services for college students free online tutoring services local tutoring services, Middle School Tutoring, High School Tutoring, English Studies, RN, Nursing school, nursing students, private tutoring, Online Academic help, graduation, law, law student, psychology, sociology, undergraduate, power point slides, Thesis work, Amazon reviews, Proofreading, speaking tutor, Re-writing, guaranteed, free, discount, cheap, tesol, TEFL, esay, esssay, support, service, online tutorials, nursing school, nursing student, tutoring services, tutoring center, tutoring service, tutoring kids, esl teacher, High school tutor, GED, exam, exams, degree, higher education, English Grammar, Grammar, SEO writing, Google Docs, English Class, English student, GEDprep, resume, cover letters, business letters, Case Study, Thesis, Research paper, Bibliography, Term paper, online coures, Dissertation, ISEE, SAT, ACT, Corona Virus, coronavirus, COVID, online, Zoom, Art, Accounting, business, criminology, English, health care management, marketing, nursing, philosophy, political science, psychology, sociology, speech, english literature, reading comprehension, writing (creative and academic), history and geography, IELTS exams, real estate, real estate, writing service, ascent tutor, ascent coach, Speaking tutoring, law student, learning disabilities teacher, learning disabilities, adult learning disabilities, AP research, AP research capstone, Admission essays, Capstone projects, Statistical analysis, Dissertation help, Book reviews , Annotated bibliography, Case studies, Thesis paper, Excel and PowerPoint presentations, Lab reports, Essays writing services, Reflection papers, barexam, bar exam, lsat prep, lsatprep, resume builder, personal statement, common application essay, argumentative essays topics, mla format for essays, write my essays, highschool essays, essays helper, oxbridge essays, academic essays, write my essays for me
";[];2022-02-11;0
2022-02-01T08:29:30-0800;https://losangeles.craigslist.org/wst/lss/d/los-angeles-bufftutor-dedicated/7440354090.html;;Online;Westside-Southbay;losangeles;California;"




Need help in Math, Science, English or a Foreign Language? We have the perfect tutor for you! BuffTutor is a network of experienced tutors with one goal: providing quality academic assistance to College & High School students at an affordable rate. Don't wait, get the help you need now! 

GET 10% OFF FIRST HOUR!

In-Person & Online Tutoring Available!

Vetted Tutors
We've made the process of finding great tutors easy for students.  All of our tutors have:
1) at least 1 year of teaching/tutoring experience
2) excelled in the course they are tutoring (earning a B+ or better)
3) passed out our challenging proficiency exams based on college level exams (Math /Science tutors)
4) excellent communication skills 
5) passed a background check and 
6) a passion for teaching!


Please visit our website to learn more.
Website: BuffTutor.com
Request Form: BuffTutor.com/request-a-tutor
Email: Contact (at) BuffTutor (dot) com

*** If you e-mail us directly, please provide specific details about the course you are taking or the help you need. All generic ""my child needs a tutor in your field in your area"" e-mails will be ignored. ***

Courses include (College & High School level):

Math
Algebra, Precalculus, Trigonometry, Geometry
Calculus (1, 2, 3) 
Differential Equations 
Linear Algebra 
Statistics 

Science
Intro to Chemistry, General Chemistry, Organic Chemistry 
Physics
General Biology
MCDB

Languages
English & Writing, Linguistics
Spanish, and other foreign languages

Other
Humanities
Philosophy
Integrative Physiology / Anatomy
Political Science
International Affairs

Test Prep: SAT, ACT, GRE

... and more! 

Our tutor list varies each semester, so visit our website to see if your course is offered by our current tutors. BuffTutor.com
";[];2022-02-11;0
