date_posted,link,price,city,subregion,region,post_text,is_long_list
2021-11-04T16:34:52-0700,https://sfbay.craigslist.org/sfc/lss/d/san-francisco-math-tutor-all-levels-of/7403643466.html,None,San Francisco,San Francisco,sf_bay_area,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara    ",False
2021-11-04T16:32:28-0700,https://sfbay.craigslist.org/sfc/lss/d/san-francisco-math-tutor-all-levels-of/7403642574.html,None,San Francisco,San Francisco,sf_bay_area,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara    ",False
2021-11-04T13:25:57-0700,https://sfbay.craigslist.org/sby/lss/d/san-jose-experienced-math-science-sat/7403561579.html,35,San Jose,South Bay,sf_bay_area,"Hello All,My name is Qusai. I have been a tutor and a teaching assistant for over 7 years. I recently graduated from UC Santa Barbara where I used to teach undergraduate students. I have taught and tutored more than 200 students and have put in more than 300 hours of teaching time. The most important aspect of tutoring, in my opinion, is to identify and fill in gaps in their knowledge. The last thing you want is your child having trouble with a specific concept because their foundation was shaky. I can help make sure there are no gaps in their knowledge and make sure they are performing well in school.Some places I have taught:- Los Angeles Pierce College- UC Santa Barbara- For a Company in Shanghai, China- Private Clients in LAQualifications:Undergrad: UC BerkeleyGrad: UC Santa Barbara(Check out some of my reviews in the images attached)If you are looking to help your child in high school or college, reach out to me. I can help break things down and get them back on track towards a positive future.Rate: $35/hourOnline TutoringNote: I have all the tools for effective online tutoring including screen share and a stylus/digital white board.Text, call, or email- Qusai from QS Tutoring",False
2021-11-04T05:28:52-0700,https://sfbay.craigslist.org/sfc/lss/d/san-francisco-experienced-math-stats/7403319058.html,None,None,San Francisco,sf_bay_area,"I'm a PHD student of Economics at NYU, I have a B.S. and a M.S degree in Mathematics. I have 2 years of teaching experience at bachelors and masters level. I have had outstanding TA evaluations.I tutor all levels of mathematics (Algebra, Calculus, Probability and Statistics, Linear Algebra, Geometry etc.) in COLLEGE and HIGH SCHOOL level. I also tutor Microeconomics and Game Theory. I am also an ex math Olympian. I have medals in the International Mathematical Olympiads. I have experience of teaching at Math Olympiads training camps in high school and middle school level. I tutor all levels of Math Olympiads.Call/text or email for further information.    ",False
2021-11-03T19:17:34-0700,https://sfbay.craigslist.org/sfc/lss/d/san-francisco-statistics-and-math-tutor/7403243285.html,None,San Francisco,San Francisco,sf_bay_area,I am PhD graduate with more than 10 years tutoring experience in statistics and mathematics. I specialize in graduate level subjects such as Bayesian statistics machine learning APA format SPSS R studio Python MATLAB Stata Excel Jamovi and other software    ,False
2021-11-03T14:20:49-0700,https://sfbay.craigslist.org/pen/lss/d/palo-alto-stanford-phd-math-and-physics/7403137978.html,65.0,Palo Alto,Peninsula,sf_bay_area,"Need extra help to further excel in your desired subject? I am an experienced Math and Physics tutor to provide learning services to students in high school and college to improve in their courses. I have my PhD in Applied Physics from Stanford University and my undergraduate degree in Engineering Physics, specializing in Electrical Engineering. I am available via zoom or in person locally in the Peninsula and East Bay Area.High school courses $60/hrCollege courses $70/hrPlease feel free to reach out if you have any questions or are interested in my services. Thank you.",False
2021-11-03T12:06:47-0700,https://sfbay.craigslist.org/eby/lss/d/pleasant-hill-high-school-sat-college/7403069831.html,"[40, 45, 50]",Concord / Pleasant Hill / Martinez,East Bay,sf_bay_area,"Math Tutor looking for work.Masters degree in Mathematics, and 5 years of teaching and tutoring experience. Can tutor high school math(Algebra 1, Geometry, Algebra 2 and Trig, Pre Calculus), Math SAT prep, and college level math (Calculus 1-3, Linear Algebra, Differential Equations, Discrete Math, Proofs).$40/hour for high school math$45/hour for SAT prep$50/hour for college mathDiscount if you book 2 hour session. *UPDATE* With the COVID-19 outbreak, I am also offering remote tutoring sessions through Discord, for those in self quarantine.    ",True
2021-11-03T10:24:11-0700,https://sfbay.craigslist.org/sby/lss/d/zoom-tutoring-stanford-phd-tutor-math/7403010656.html,50,Cupertino,South Bay,sf_bay_area,"I specializes in one-on-one tutoring for all levels of math and science. I am calm, patient and encouraging and am experienced at working with students of all ages, ranging from middle school through college.  My goal as tutors is to create a positive learning environment and to encourage students to be curious, ask questions and think analytically. Depending on scheduling and convenience, I meet students at their home, a cafe or a public library. If interested, please email me and we will devise a game plan to get you started! My fee is $50/h. Subjects:"" * Math: middle school, high school and college level (including pre-algebra, algebra, geometry, trigonometry, pre-calculus, calculus and more) * Chemistry: high school and college level (including AP Chemistry) * Physics: high school and college level (including AP Physics) * SAT/ACT prep (math)(zoom tutoring only due to COVID19)    ",False
2021-11-02T19:59:27-0700,https://sfbay.craigslist.org/scz/lss/d/santa-cruz-statistics-math-tutor-basic/7402797517.html,None,Santa Cruz,Santa Cruz,sf_bay_area,"📈Online Tutoring   📝Affordable Competitive Rates  📊Free initial phone consultation    📐Group Discounts   📆Weekday, Evening & Weekend AvailabilityT u t o r W i t h C h r i s . c o mCall or Text 714-253-9990Hello!  My name is Chris and I provide affordable online tutoring services to students ranging from Jr. High through Graduate School in a wide range of subjects You're welcome to read my 5-Star positive reviews and testimonials from my past and current clients on both Google and Yelp by searching ""Tutor With Chris""I'm happy to help you with any of the following subjects:Statistics for the Social Sciences✏️Intro, Intermediate, Advanced✏️SPSSPsychology✏️Research Methods✏️Bio-psych✏️Abnormal psych✏️OthersResearch Proposal Assistance✏️Data Analysis in SPSS✏️Research DesignMath✏️Math Skills✏️Intermediate & College Algebra✏️Geometry✏️Trigonometry & Pre-calculusI have extensive experience working with students with learning disabilities and math anxiety and have helped countless students gain confidence, overcome their individual challenges and forge a path toward academic success.  I also understand -and can relate to- the challenges facing college and graduate students juggling academics, work and family, and I'm here to helpI am a professional academic tutor with 7+ years of college and university tutoring experience, as well as experience as a graduate teaching assistant at CSUF.  I have a BA in psychology, graduate coursework in clinical psychology and advanced statistics, an AA in anthropology, and experience working as a supplemental instruction leader at Fullerton CollegeAs a small business owner with many years of customer service experience, it is very important to me that I provide every client with an uplifting, interactive and supportive experience.  At no additional charge I provide session notes, digital white board drawings, a copy of any work completed in our session, as well as any relevant resource materials I may already have on the subjectMy rates are flexible and competitive so I can help as many students as possiblePlease be aware, I offer traditional tutoring and instruction and am more than happy to work with you on your assignments in-session.  I do not complete assignments, coursework, exams or courses for studentsFor more information about my rates, discounts and appointment availability, and to discuss the help you need, you can contact me by phone or text at 714-253-9990 or by responding to this posting or contacting me through my websiteI'm eager to help and look forward to hearing from you!T u t o r W i t h C h r i s . c o m714-253-9990 ",False
2021-11-03T07:53:16-0700,https://sfbay.craigslist.org/sby/lss/d/sunnyvale-tutor-for-math-english/7402922746.html,None,Sunnyvale,South Bay,sf_bay_area,"Please text me at 408-877-5379.My name is Julia and I can help you with your tutoring needs.I have the experience, knowledge and skills to help you improve in your desired subject or test. I know what it takes to get a high score on the SAT, ACT, GMAT, GRE, LSAT and MCAT as well as get into a top tier school. Let me show you how to “crack the code” to success.Educational Background:University of Chicago (undergrad)Yale University (grad)SAT: 1540/1600ACT: 35/36GMAT: 780GRE: 330MCAT:520LSAT: 177Here are the areas I can help with:Basic Math, Pre-Algebra, Algebra 1 & 2, Intermediate Algebra, College Algebra, Problem Solving, Geometry, Pre-Calculus, CalculusGeneral Chemistry, College Chemistry, AP Chemistry, AP Physics, Mechanics, General Science, Biology, Earth Science, Quantum PhysicsEnglish, Essay writingTEST PREPARATION: SAT, ACT, GMAT, GRE, LSAT, PSAT, GED, HSPT, TOEFLI look forward to helping you.San Francisco. California, Alameda, Albany, American Canyon, Antioch, Atherton, Belmont, Belvedere, Benicia, Berkeley, Brentwood, Brisbane, Burlingame, Calistoga, Campbell, Clayton, Cloverdale, Colma, Concord, Corte Madera, Cotati, Cupertino, Daly City, Danville, Dixon, Dublin, East Palo Alto, El Cerrito, Emeryville, Fairfax, Fairfield, Foster City, Fremont, Gilroy, Half Moon Bay, Hayward, Healdsburg, Hercules, Hillsborough, Lafayette, Larkspur, Livermore, Los Altos, Los Altos Hills, Los Gatos, Martinez, Menlo Park, Mill Valley, Millbrae, Milpitas, Monte Sereno, Moraga, Morgan Hill, Mountain View, Napa, Newark, Novato, Oakland, Oakley, Orinda, Pacifica, Palo Alto, Petaluma, Piedmont, Pinole, Pittsburg, Pleasant Hill, Pleasanton, Portola Valley, Redwood City, Richmond, Rio Vista, Rohnert Park, Ross, St. Helena, San Anselmo, San Bruno, San Carlos, San Francisco, San Jose, San Leandro, San Mateo, San Pablo, San Rafael, San Ramon, Santa Clara, Santa Rosa, Saratoga, Sausalito, Sebastopol, Sonoma, South San Francisco, Suisun City, Sunnyvale, Tiburon, Union City, Vacaville, Vallejo, Walnut Creek, CA    ",False
